,Month,Male,Female,Customer,year,day,Datetime
0,1,11394,2948,616,2016,1,2016-01-01
1,2,12566,3258,676,2016,1,2016-02-01
2,3,19872,5296,1854,2016,1,2016-03-01
3,4,22744,6308,3632,2016,1,2016-04-01
4,5,27850,7528,3598,2016,1,2016-05-01
5,6,34046,9432,4416,2016,1,2016-06-01
6,7,34642,9696,4534,2016,1,2016-07-01
7,8,47476,13700,7122,2016,1,2016-08-01
8,9,46726,14430,5694,2016,1,2016-09-01
9,10,42664,12778,3780,2016,1,2016-10-01
10,11,31700,9444,2520,2016,1,2016-11-01
11,12,22714,6154,1360,2016,1,2016-12-01
